Date,Open,High,Low,Close,Open_Rate,High_Rate,Low_Rate,Close_Rate,Open_MA,High_MA,Low_MA,Close_MA,Open_Rate_MA,High_Rate_MA,Low_Rate_MA,Close_Rate_MA,Next Day
5/6/2005,1172.63,1177.75,1170.5,1171.35,-0.0026,-0.0007,0.0032,-0.0011,1160.943,1167.096,1153.3745,1160.4505,-0.000335,-0.000245,-0.00033,-0.00039,1
5/9/2005,1171.35,1178.87,1169.38,1178.84,-0.0011,0.001,-0.001,0.0064,1160.4505,1166.836,1152.909,1160.332,-0.00039,-0.000195,-0.00038,-7E-05,0
5/10/2005,1178.84,1178.84,1162.98,1166.22,0.0064,0,-0.0055,-0.0107,1160.332,1166.2695,1152.5155,1159.255,-7E-05,-0.000455,-0.00032,-0.00088,1
5/11/2005,1166.22,1171.77,1157.71,1171.11,-0.0107,-0.006,-0.0045,0.0042,1159.255,1165.47,1151.831,1159.121,-0.00088,-0.000655,-0.00057,-0.00008,0
5/12/2005,1171.11,1173.37,1157.76,1159.36,0.0042,0.0014,0,-0.01,1159.121,1165.405,1151.634,1158.9865,-0.00008,-3.5E-05,-0.000155,-8E-05,0
5/13/2005,1159.36,1163.75,1146.18,1154.05,-0.01,-0.0082,-0.01,-0.0046,1158.9865,1165.49,1151.847,1159.558,-8E-05,9E-05,0.000195,0.000525,1
5/16/2005,1154.05,1165.75,1153.64,1165.69,-0.0046,0.0017,0.0065,0.0101,1159.558,1166.3315,1152.539,1160.5435,0.000525,0.00074,0.000615,0.000885,1
5/17/2005,1165.69,1174.35,1159.86,1173.8,0.0101,0.0074,0.0054,0.007,1160.5435,1167.3155,1153.233,1161.5945,0.000885,0.00086,0.000615,0.00094,1
5/18/2005,1173.8,1187.9,1173.8,1185.56,0.007,0.0115,0.012,0.01,1161.5945,1168.9355,1155.1155,1163.9975,0.00094,0.0014,0.001645,0.002105,1
5/19/2005,1185.56,1191.09,1184.49,1191.08,0.01,0.0027,0.0091,0.0047,1163.9975,1170.4925,1157.465,1165.554,0.002105,0.00134,0.00204,0.001355,0
5/20/2005,1191.08,1191.22,1185.19,1189.28,0.0047,0.0001,0.0006,-0.0015,1165.554,1172.056,1159.577,1167.412,0.001355,0.001345,0.00183,0.00162,1
5/23/2005,1189.28,1197.44,1188.76,1193.86,-0.0015,0.0052,0.003,0.0039,1167.412,1173.7255,1161.409,1169,0.00162,0.00143,0.00158,0.00138,1
5/24/2005,1193.86,1195.29,1189.87,1194.07,0.0039,-0.0018,0.0009,0.0002,1169,1175.25,1163.3155,1171.1165,0.00138,0.00131,0.00164,0.001835,0
5/25/2005,1194.07,1194.07,1185.96,1190.01,0.0002,-0.001,-0.0033,-0.0034,1171.1165,1176.96,1165.3925,1172.798,0.001835,0.00147,0.001795,0.001465,1
5/26/2005,1190.01,1198.95,1190.01,1197.62,-0.0034,0.0041,0.0034,0.0064,1172.798,1179.0885,1167.732,1175.518,0.001465,0.001825,0.002015,0.002355,1
5/27/2005,1197.62,1199.56,1195.28,1198.78,0.0064,0.0005,0.0044,0.001,1175.518,1181.218,1170.5365,1177.6145,0.002355,0.001825,0.00241,0.00181,0
